      8 'Baltimore'	'Indianapolis'	'd numbers|'	' Colts No.'
      9 'continental [[East Asi'	'[[China]] and [[Kore'	'ants from '	"'a]].<ref>""'"
      9 'effective political opposition was eliminated during the [[1930s]] by ruthless [[Great Purge|purges]] and repression. Victory in [[World War II]] ([[1945]])'	'mass [[Great Purge|purges]] and repression resulted in the death of millions of Soviet citizens. Victory in [[World War II]] ([[1945]]) and subsequent control over much of post-war [[Eastern Europe]]'	'ower, but '	' establish'
      9 'fals'	'tru'	'k|checked='	'e|needhelp'
      9 'ie'	'ei'	'ove and Fr'	"""ndship]]''"""
      9 ''	' in Chemistry|Nobel Prize'	'obel Prize'	']] laureat'
      9 ''	'* [[Intelligent design]]\n'	' Milloy]]\n'	'\n==Further'
      9 'July 18'	'August 3'	'        = '	', 1882<ref'
      9 'lef'	'righ'	'jpg|thumb|'	't|Sixteent'
      9 'mass [[Great Purge|purges]] and repression resulted in the death of millions of Soviet citizens. Victory in [[World War II]] ([[1945]]) and subsequent control over much of post-war [[Eastern Europe]]'	'effective political opposition was eliminated during the [[1930s]] by ruthless [[Great Purge|purges]] and repression. Victory in [[World War II]] ([[1945]])'	'ower, but '	' establish'
      9 ''	'\n'	'Calendar}}'	'\n== Events'
      9 ''	'\n'	'n History]'	'\n{{months}'
      9 'no}}'	"'partial}}<ref name=""dnssec""/>'"	'bsp; || {{'	' || {{yes}'
      9 '\n*Suzan Lewis Uchitel Minoret; Born in 1952 to Lynn Kleinman <ref>[http://SuzanLewis.com Suzan Lewis Official Website]</ref>'	''	'tti Palmer'	'\n*Scott Le'
      9 ''	'Ono '	'n Winston '	"""Lennon''',"""
      9 'Ono '	''	'n Winston '	"""Lennon''',"""
      9 '[[{{ PAGENAME}}]]'	'{{Linked-title}}'	'g it. -->\n'	' is the 18'
      9 ''	's'	'ernal link'	'==\n* [http'
      9 'sit'	'be appointed'	'urists to '	' as justic'
      9 'Sorcer'	'Philosoph'	'r and the '	"""er's Stone"""
      9 ''	' (state)'	'n New York'	']]\n[[Categ'
      9 ''	'.'	' this list'	'\nDo not tr'
      9 'Winston '	''	"""\n\n'''John """	'Ono Lennon'
     10 'Anglo-'	''	' was an [['	'Irish]]<re'
     10 ''	"'At the time, the British described such political violence as ""Jewish"" or ""Zionist terrorism"", although the latter is used as a [[political epithet]] in reference to present day events outside that historical context.\n\n'"	'unities.\n\n'	'The Hagana'
     10 'Dan Quayle is an exceptionally handsome man, which could be one of the reasons why he was consistently attacked by the media during his term as Vice President.<ref>[http://query.nytimes.com/gst/fullpage.html?res=950DE5DF1739F936A35751C0A96F948260  A MATTER OF SELF-CONFIDENCE - New York Times]</ref>\n\n'	''	'ntury]].\n\n'	'Quayle is '
     10 'ei'	'ie'	'ove and Fr'	"""ndship]]''"""
     10 ''	'{{msg:JanuaryCalendar}}\n'	'ear]]s).\n\n'	'==Events=='
     10 '\n'	''	'ata]] -->\n'	'{{Personda'
     10 ''	' \n   '	'ng[] args)'	' {\n       '
     10 '[[{{ PAGENAME}}]]'	'{{Linked-title}}'	'g it. -->\n'	' is the 17'
     10 ''	', tyrant and dictator, murderer and despot'	'et Union]]'	'. Stalin b'
     10 ', tyrant and dictator, murderer and despot'	''	'et Union]]'	'. Stalin b'
     10 ''	'Winston '	"""\n\n'''John """	'Ono Lennon'
     10 'writer'	'Writer/doc'	'e:Infobox '	']] -->\n| n'
     11 '28'	'30'	'| <center>'	'\n| <center'
     11 '30'	'28'	'| <center>'	'\n| <center'
     11 ''	'992]] &ndash; [[Shruti Sinha]] is born in [[Jamshedpur]]\n*[[1'	'nts==\n*[[1'	'190]] &nda'
     11 '992]] &ndash; [[Shruti Sinha]] is born in [[Jamshedpur]]\n*[[1'	''	'nts==\n*[[1'	'190]] &nda'
     11 'Baltimore Ravens Ring of Honor]]\n* [['	''	'eam]]\n* [['	'Indianapol'
     11 ''	'Calendar of saints|'	'ristian [['	'Feast Day]'
     11 'January calendar|float=right'	'calendar'	'-indef}}{{'	'}}\n{{This '
     11 '\n'	''	'an actress'	'\n<!-- \nDo '
     11 ''	'\n'	'an actress'	'\n<!-- \nPle'
     11 '\n'	''	'an actress'	'\n<!-- \nPle'
     11 ''	'. No red links, please.'	' this list'	'\nDo not tr'
     11 ''	'reprisal '	'mpaign of '	'bombings a'
     11 ''	'rules '	'ustralian '	'footballer'
     11 's'	'c'	"""|''[[Licen"""	'e to Kill]'
     11 's]]\n[[Category:LGBT superheroe'	''	'oolteacher'	's]]\n[[Cate'
     11 ''	"""-- sometimes spelt '''Josef Goebbels''', or '''Göbbels''', """	'[[1945]]) '	'was [[Adol'
     11 'w'	'W'	'{{Infobox '	'riter <!--'
     12 ' and '	', one daughter born out of wedlock, and '	'f six sons'	'one adopte'
     12 ''	'Baltimore Ravens Ring of Honor]]\n* [['	'eam]]\n* [['	'Indianapol'
     12 'gay males]]\n[[Category:Fictional sc'	'sc'	'Fictional '	'hoolteache'
     12 '[[January]], [[February]], [[March]], [[April]], [[May]], [[June]], [[July]],\n[[August]], [[September]], [[October]], [[November]], [[December]]'	'{{msg:months}}'	'l days]]\n\n'	''
     12 '&nbsp;'	'{{yes}}'	'&nbsp; || '	' || {{no}}'
     12 'no'	'yes'	'bsp; || {{'	'}} || {{ye'
     12 ''	' '	'#REDIRECT'	'[[Constitu'
     12 'reprisal '	''	'mpaign of '	'bombings a'
     12 """-- sometimes spelt '''Josef Goebbels''', or '''Göbbels''', """	''	'[[1945]]) '	'was [[Adol'
     12 "'The Japanese did not start writing their own histories until after the 5th and 6th centuries, when the [[Chinese written language|Chinese writing system]], [[Buddhism]], advanced [[pottery]], ceremonial burial, and other aspects of culture were introduced by aristocrats, artisans, scholars, and monks from [[Baekje]], one of the [[Three Kingdoms of Korea]].<ref>""[http://theseoultimes.com/ST/?url=/ST/db/read.php?idx=580 Korean Buddhism Basis of Japanese Buddhism],"" \'\'Seoul Times\'\', June 18, 2006; ""[http://www.asiasocietymuseum.org/buddhist_trade/koreajapan.html Buddhist Art of Korea & Japan],"" Asia Society Museum; ""[http://www.japan-guide.com/e/e2046.html Kanji],"" JapanGuide.com; ""[http://encarta.msn.com/encyclopedia_761568150_4/Pottery.html Pottery],"" MSN Encarta; ""[http://www.japanvisitor.com/index.php?cID=359&pID=334&cName=Japanese History of Japan],"" JapanVisitor.com.</ref>\n\n'"	''	'inister.\n\n'	'Starting w'
     12 ''	"'The Japanese did not start writing their own histories until after the 5th and 6th centuries, when the [[Chinese written language|Chinese writing system]], [[Buddhism]], advanced [[pottery]], ceremonial burial, and other aspects of culture were introduced by aristocrats, artisans, scholars, and monks from [[Baekje]], one of the [[Three Kingdoms of Korea]].<ref>""[http://theseoultimes.com/ST/?url=/ST/db/read.php?idx=580 Korean Buddhism Basis of Japanese Buddhism],"" \'\'Seoul Times\'\', June 18, 2006; ""[http://www.asiasocietymuseum.org/buddhist_trade/koreajapan.html Buddhist Art of Korea & Japan],"" Asia Society Museum; ""[http://www.japan-guide.com/e/e2046.html Kanji],"" JapanGuide.com; ""[http://encarta.msn.com/encyclopedia_761568150_4/Pottery.html Pottery],"" MSN Encarta; ""[http://www.japanvisitor.com/index.php?cID=359&pID=334&cName=Japanese History of Japan],"" JapanVisitor.com.</ref>\n\n'"	'inister.\n\n'	'Starting w'
     13 '  1956   &ndash; [[John Mangos]], Australian journalist and television host\n*'	''	'aywright\n*'	'[[1957]] &'
     13 ''	'  1956   &ndash; [[John Mangos]], Australian journalist and television host\n*'	'aywright\n*'	'[[1957]] &'
     13 'candidates'	'election'	'sidential '	']]\n[[Categ'
     13 'C'	' c'	'ef}}{{July'	'alendar|fl'
     13 ' '	''	'{{cite web'	'|url=http:'
     13 'c'	's'	"""|''[[Licen"""	'e to Kill]'
     13 'Danquayle.jp'	'Quayle.jpe'	'>\n[[Image:'	'g|Photo of'
     13 ''	' {{fact}}'	'l context.'	'\n\nThe Haga'
     13 'July calendar|float=right'	'calendar'	'-indef}}{{'	'}}\n{{This '
     13 'Quayle.jpe'	'Danquayle.jp'	'>\n[[Image:'	'g|Photo of'
     13 ''	'regarded as '	's, he was '	'a master p'
     13 'regarded as '	''	's, he was '	'a master p'
     13 'Wendy in Wonderland'	'[[An American Tail: Fievel Goes West]]'	""" 1991\n| ''"""	"""''\n| Cat R"""
     14 'a'	'ian History'	'y in Canad'	']\n{{months'
     14 '[[An American Tail: Fievel Goes West]]'	'Wendy in Wonderland'	""" 1991\n| ''"""	"""''\n| Cat R"""
     14 ''	'and [[Korean culture|Korean]] '	'Chinese]] '	'customs an'
     14 'came to be regarded '	'w'	'nties, he '	'as a maste'
     14 ''	'\n'	'ican actor'	'\n<!--\nDo n'
     14 '\n'	''	'ican actor'	'\n<!--\nDo n'
     14 '\n\n{{JulyCalendar}}'	''	'remaining.'	'\n\n==Events'
     14 ', one daughter born out of wedlock, and '	' and '	'f six sons'	'one adopte'
     14 'Philosoph'	'Sorcer'	'r and the '	"""er's Stone"""
     14 "'| style=""float:right;""\n|- \n|{{JulyCalendar}}\n|-\n|'"	'{JulyCalendar|float=right}}\n'	'{'	'{{ThisDate'
     14 'w'	'came to be regarded '	'nties, he '	'as a maste'
     15 ' and '	'|'	'b|Burstein'	'Isenberg|2'
     15 'and [[Korean culture|Korean]] '	''	'Chinese]] '	'customs an'
     15 'C'	' c'	'}{{January'	'alendar|fl'
     15 ''	'\n'	'an actress'	'\n<!-- \nDo '
     15 '[[{{ PAGENAME}}]]'	'{{Linked-title}}'	'ot change '	' it preser'
     16 '30'	'28'	'ventus]] ('	' titles)\n|'
     16 ''	' in Physics|Nobel Prize'	'obel Prize'	']] laureat'
     16 ''	'{{msg:JulyCalendar}}\n'	'maining.\n\n'	'==Events=='
     16 '\n\n{{JuneCalendar}}'	''	'remaining.'	'\n==Events='
     17 '  1991   &ndash; [[Damien Cook]], Australian rugby league player \n*[['	'[['	'uitarist\n*'	'1992]] &nd'
     17 '30'	'28'	'ventus]] ('	'th title)\n'
     17 'C'	' c'	'ef}}{{June'	'alendar|fl'
     17 '\n*[[1994]] &ndash; [[Ben Dwarshuis]], Australian cricketer '	''	'footballer'	'\n*[[2004]]'
     17 'no'	'yes'	'|answered='	'}}\n<!-- Be'
     18 '[['	'  1991   &ndash; [[Damien Cook]], Australian rugby league player \n*[['	'uitarist\n*'	'1992]] &nd'
     18 '28'	'30'	'ventus]] ('	'th title)\n'
     18 '28'	'30'	'ventus]] ('	' titles)\n|'
     18 ''	'\n*[[1994]] &ndash; [[Ben Dwarshuis]], Australian cricketer '	'footballer'	'\n*[[2004]]'
     18 '\n|}'	''	'scroll -->'	'\n{{Day}}\n\n'
     18 "'| style=""float:right;""\n|-\n|{{JanuaryCalendar}}\n|-\n|'"	'{JanuaryCalendar|float=right}}\n'	'{'	'{{ThisDate'
     19 'May'	'June'	"';""\n|- \n|{{'"	'Calendar}}'
     19 '{{pp-pc1}}'	''	':January]]'	''
     19 '{{pp-pc1}}'	''	'ory:July]]'	''
     19 'widely regarded as '	''	's, he was '	'a master p'
     20 ''	'AD '	' 1]].  In '	'[[525]], N'
     20 'AD '	''	' 1]].  In '	'[[525]], N'
     20 ' '	''	'and stops '	'robots fro'
     20 ''	'.'	'nformation'	'\nDo not li'
     20 ''	'no Jack Kennedy. \nHe is '	' 1947) is '	'an America'
     20 'no Jack Kennedy. \nHe is '	''	' 1947) is '	'an America'
     20 'o'	'O'	']\n* {{NYT '	'n this day'
     20 ''	'{{pp-pc1}}'	':January]]'	''
     20 ''	'widely regarded as '	's, he was '	'a master p'
     21 ''	'2006Rev'	'ecentYears'	'|Month=Jul'
     21 '[[January]], [[February]], [[March]], [[April]], [[May]], [[June]], [[July]], [[August]], [[September]], [[October]], [[November]], [[December]]'	'{{msg:months}}'	'l days]]\n\n'	''
     21 '\n'	''	'rence.\n-->'	'\n==Deaths='
     22 ''	'{{pp-pc1}}'	'ory:July]]'	''
     22 ''	'|U.S.'	'ted States'	' Congress]'
     23 'June calendar|float=right'	'calendar'	'-indef}}{{'	'}}\n{{This '
     23 '{{pp-pc1}}\n'	''	''	'{{pp-move-'
     24 ']'	' |publisher=Canada Channel}}'	'an History'	'\n\n{{months'
     24 "'| style=""float:right;""\n|- \n|{{JuneCalendar}}\n|-\n|'"	'{JuneCalendar|float=right}}\n'	'{'	'{{ThisDate'
     25 'a'	'ian History'	'y in Canad'	']\n\n{{month'
     25 ' big fat joke. He is a'	''	'1947) is a'	'n American'
     26 ''	' big fat joke. He is a'	'1947) is a'	'n American'
     26 ''	' '	'{{cite web'	'|url=http:'
     26 ''	'{{msg:JuneCalendar}}\n'	'maining.\n\n'	'==Events=='
     27 ''	'\n'	'rence.\n-->'	'\n==Deaths='
     27 '{{pp-pc1}}'	''	'ory:June]]'	''
     28 ''	'Bisexual writers]]\n[[Category:Bisexual writers from the United States]]\n[[Category:'	'[Category:'	'People fro'
     28 ''	'{{pp-pc1}}'	'ory:June]]'	''
     29 'Bisexual writers]]\n[[Category:Bisexual writers from the United States]]\n[[Category:'	''	'[Category:'	'People fro'
     29 '['	'{{cite web |url='	'mmons}}\n* '	'http://new'
     30 ']'	' |publisher=BBC}}'	'n This Day'	'\n* {{NYT O'
     31 ''	' '	' czerwca]]'	'[[sv:Juni '
     34 ''	'\n'	'Calendar}}'	'\n==Events='
     38 '79]] &ndash; [[The Funk]]\n*[[19'	''	'922)\n*[[19'	'84]] &ndas'
     39 '----'	''	'n Canada]\n'	'\n{{months}'
     40 ''	'79]] &ndash; [[The Funk]]\n*[[19'	'922)\n*[[19'	'84]] &ndas'
     40 ' '	''	' and stops'	' robots fr'
     43 ''	' '	'. -->\n[[{{'	'PAGENAME}}'
     44 '{{pp-protected|small=yes}}\n'	''	''	'{{pp-pc1}}'
     47 ''	'{{pp-protected|small=yes}}\n'	''	'{{pp-pc1}}'
     48 'stops robots '	'discourages well meaning robots and people '	'atted and '	'from delin'
     49 'no Jack Kennedy. He is '	''	' 1947) is '	'an America'
     52 ''	'{{commons}}\n'	'l links==\n'	'* [http://'
     52 '[[{{PAGENAME}}]]'	'{{Linked-title}}'	'ot change '	' it preser'
     53 ''	'no Jack Kennedy. He is '	' 1947) is '	'an America'
     60 ' '	''	'ME}}]] it '	'preserves '
     69 ''	'{{pp-pc1}}\n'	''	'{{pp-pc1}}'
     69 '{{pp-pc1}}\n'	''	''	'{{pp-pc1}}'
     85 ''	'{{pp-pc1}}\n'	''	'{{pp-move-'
